# Gemessener Hiebton (Frequenz mit maximalem Pegel in Hz)
# v0 in m/s,    d=3mm,    d=4mm,    d=5mm,    d=7mm,    d=9mm,    d=11mm,    d=13mm,    d=16mm,    d=20mm
      8.32,    543.04,    408.10,    329.83,    234.27,    184.14,    149.89,    125.13,    101.42,     81.67
     10.73,    702.87,    522.33,    425.56,    297.68,    234.59,    190.87,    163.48,    132.67,    105.90
     14.10,    914.43,    689.08,    552.86,    400.17,    307.89,    254.11,    215.73,    173.16,    138.90
     18.69,   1210.97,    918.65,    740.07,    524.51,    411.06,    337.24,    284.78,    230.46,    185.08
     22.10,   1446.13,   1087.37,    881.73,    622.21,    483.80,    397.48,    336.60,    274.14,    217.86
     25.06,   1638.99,   1231.13,    992.45,    710.41,    548.76,    449.56,    381.22,    308.65,    247.42
     29.76,   1962.34,   1462.56,   1177.07,    843.65,    651.46,    537.05,    452.85,    367.34,    295.30
     34.00,   2236.47,   1677.31,   1341.23,    957.86,    745.89,    610.97,    518.58,    420.16,    336.71
     37.25,   2447.92,   1841.72,   1471.93,   1055.76,    819.18,    666.91,    566.73,    460.14,    369.54
     40.95,   2694.82,   2026.79,   1621.68,   1154.95,    899.34,    736.58,    621.65,    510.68,    405.74
     44.07,   2892.18,   2169.96,   1742.79,   1243.99,    965.24,    789.57,    670.82,    544.51,    436.51
     45.42,   2988.94,   2249.23,   1788.50,   1284.97,    996.56,    815.28,    692.82,    559.41,    449.39
     47.31,   3112.06,   2343.26,   1864.81,   1337.72,   1040.97,    850.95,    720.31,    584.99,    466.74
