Antwort Nr.,Die vermittelten Inhalte verstehe ich meistens ...,Welcher Aussage stimmen Sie zu?,Wie verbringen Sie zurzeit ein verlängertes Wochenende?
1,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Arbeiten / Lernen / Wohnung renovieren.
2,... wenn ich die Übungsaufgaben löse.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
3,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,,Arbeiten / Lernen / Wohnung renovieren.
4,... sofort!,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
5,... wenn ich die Übungsaufgaben löse.,"Meine HA-Gruppe ist eine der besten, die ich je hatte!
Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Da kommt ihr nie drauf.
6,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
7,... sofort!,"Meine HA-Gruppe ist eine der besten, die ich je hatte!
Die Hausaufgaben 0 und 1 waren recht einfach.",Arbeiten / Lernen / Wohnung renovieren.
8,... fast oder gar nicht. Ich brauche noch mehr Hilfe.,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Arbeiten / Lernen / Wohnung renovieren.
9,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Arbeiten / Lernen / Wohnung renovieren.
10,... wenn ich die Übungsaufgaben löse.,"Meine HA-Gruppe ist eine der besten, die ich je hatte!
Die Hausaufgaben 0 und 1 waren recht einfach.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
11,... sofort!,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Die Hausaufgaben 0 und 1 waren recht einfach.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.","Ich bin dann mal im Internet (Serien-Marathon, Kultur-Streaming, Games)."
12,... wenn ich die Übungsaufgaben löse.,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Raus ins Grüne; See- oder Waldbaden oder so.
13,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!",Arbeiten / Lernen / Wohnung renovieren.
14,... sofort!,"Ich würde zusätzliche ""Fingerübungs""-Aufgaben wahrscheinlich nicht machen.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.","Ich bin dann mal im Internet (Serien-Marathon, Kultur-Streaming, Games)."
15,... nachdem ich viel extern recherchiert habe.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.",Arbeiten / Lernen / Wohnung renovieren.
16,... wenn ich die Übungsaufgaben löse.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
17,... wenn ich die Übungsaufgaben löse.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Da kommt ihr nie drauf.
18,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,,Arbeiten / Lernen / Wohnung renovieren.
19,... wenn ich die Übungsaufgaben löse.,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
20,... sofort!,"Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Raus ins Grüne; See- oder Waldbaden oder so.
21,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
22,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Arbeiten / Lernen / Wohnung renovieren.
23,... wenn ich die Übungsaufgaben löse.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!
Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
24,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
25,... sofort!,Die Hausaufgaben 0 und 1 waren recht einfach.,"Ich bin dann mal im Internet (Serien-Marathon, Kultur-Streaming, Games)."
26,... wenn ich die Übungsaufgaben löse.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!
Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
27,... nachdem ich viel extern recherchiert habe.,,Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
28,... sofort!,"Meine HA-Gruppe ist eine der besten, die ich je hatte!
Die Hausaufgaben 0 und 1 waren recht einfach.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Arbeiten / Lernen / Wohnung renovieren.
29,... nachdem ich viel extern recherchiert habe.,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
30,... wenn ich die Übungsaufgaben löse.,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
31,... sofort!,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
32,... wenn ich die Übungsaufgaben löse.,"Die Hausaufgaben 0 und 1 waren recht einfach.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
33,... wenn ich die Übungsaufgaben löse.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Raus ins Grüne; See- oder Waldbaden oder so.
34,... wenn ich die Übungsaufgaben löse.,"Ich würde zusätzliche ""Fingerübungs""-Aufgaben wahrscheinlich nicht machen.
Die Hausaufgaben 0 und 1 waren recht einfach.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
35,... sofort!,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Da kommt ihr nie drauf.
36,... wenn ich die Übungsaufgaben löse.,"Ich würde zusätzliche ""Fingerübungs""-Aufgaben wahrscheinlich nicht machen.
Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
37,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.",Raus ins Grüne; See- oder Waldbaden oder so.
38,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
39,... wenn ich die Übungsaufgaben löse.,"Meine HA-Gruppe ist eine der besten, die ich je hatte!
Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Arbeiten / Lernen / Wohnung renovieren.
40,... sofort!,"Meine HA-Gruppe ist eine der besten, die ich je hatte!
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Raus ins Grüne; See- oder Waldbaden oder so.
41,... nachdem ich viel extern recherchiert habe.,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Da kommt ihr nie drauf.
42,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.","Ich bin dann mal im Internet (Serien-Marathon, Kultur-Streaming, Games)."
43,... beim wiederholten Anschauen und/oder der intensiven Auseinandersetzung mit den Übungsaufgaben.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Meine HA-Gruppe ist eine der besten, die ich je hatte!
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
44,... wenn ich die Übungsaufgaben löse.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Die Hausaufgaben 0 und 1 waren recht einfach.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
45,... sofort!,"Meine HA-Gruppe ist eine der besten, die ich je hatte!
Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
46,... wenn ich die Übungsaufgaben löse.,"Ich hätte gern noch mehr zusätzliche ""Fingerübungs""-Aufgaben zu den Inhalten.
Die Hausaufgaben 0 und 1 waren recht einfach.
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Arbeiten / Lernen / Wohnung renovieren.
47,... wenn ich die Übungsaufgaben löse.,"Meine HA-Gruppe ist eine der besten, die ich je hatte!
Mir ist (zumindest ab dieser Aussage) bewusst, dass ich für die kommenden HAs mehr Zeit einplanen sollte.
Wenn die Maske nicht richtig sitzt, beschlägt meine Brille, und das nervt.",Seit Corona sind Wochentage und -enden für mich ein abstraktes Konzept.
